tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2021,2021,2021-04-11,The Masters #2,536,"Woodland, Gary",12577,T40,2,Augusta National Golf Club,14,72,1,9:24am,72,-0.19,-0.25,1.357,-0.588,0.519,0.33,308.4,0.643,0.722,0.375,43.291,28.867,8.0,5.0,0,5,8,5,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Woodland, Gary",12577,T40,3,Augusta National Golf Club,14,72,1,11:30am,75,0.263,-1.548,-1.491,0.202,-2.837,-2.574,308.2,0.5,0.5,0.583,63.846,40.605,1.0,5.0,0,3,9,6,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Woodland, Gary",12577,T40,4,Augusta National Golf Club,14,72,1,10:20am,72,3.368,-0.856,-1.875,-0.008,-2.739,0.63,305.3,0.571,0.556,0.667,82.232,37.895,5.0,1.0,0,4,10,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Hughes, Mackenzie",15556,T40,1,Augusta National Golf Club,14,72,1,11:30am,72,-0.474,1.47,0.66,0.866,2.996,2.523,291.2,0.786,0.722,0.571,130.895,42.38,3.0,3.0,0,2,14,2,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Hughes, Mackenzie",15556,T40,2,Augusta National Golf Club,14,72,1,8:24am,72,-0.36,0.62,0.268,-0.199,0.689,0.33,286.7,0.714,0.667,0.429,49.961,46.243,3.0,3.0,0,5,8,5,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Hughes, Mackenzie",15556,T40,3,Augusta National Golf Club,14,72,1,12:30pm,72,1.128,-0.303,-0.801,0.402,-0.702,0.426,293.7,0.643,0.556,0.556,91.978,40.812,2.0,4.0,0,3,12,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Hughes, Mackenzie",15556,T40,4,Augusta National Golf Club,14,72,1,12:20pm,76,-1.293,0.817,-2.048,-0.846,-2.078,-3.37,291.9,0.571,0.389,0.5,85.94,36.657,1.0,5.0,0,3,9,5,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Bezuidenhout, Christiaan",18103,T40,1,Augusta National Golf Club,14,72,1,10:18am,70,2.407,0.642,0.486,0.988,2.116,4.523,280.6,0.929,0.611,0.875,,32.911,4.0,2.0,0,3,14,1,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Bezuidenhout, Christiaan",18103,T40,2,Augusta National Golf Club,14,72,1,1:24pm,76,1.043,-1.04,-2.892,-0.782,-4.714,-3.67,279.7,0.571,0.444,0.667,46.703,50.638,3.0,3.0,0,2,11,4,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Bezuidenhout, Christiaan",18103,T40,3,Augusta National Golf Club,14,72,1,10:20am,74,0.032,0.015,-0.097,-1.524,-1.606,-1.574,279.5,0.5,0.444,0.636,65.211,49.133,4.0,2.0,0,2,12,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Bezuidenhout, Christiaan",18103,T40,4,Augusta National Golf Club,14,72,1,10:20am,72,0.195,1.055,-1.117,0.496,0.434,0.63,288.9,0.857,0.5,0.778,261.666,41.952,1.0,3.0,0,3,12,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Munoz, Sebastian",20770,T40,1,Augusta National Golf Club,14,72,1,8:36am,74,-1.145,0.331,0.759,0.577,1.668,0.523,296.0,0.643,0.611,0.5,67.157,46.905,3.0,5.0,0,3,10,5,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Munoz, Sebastian",20770,T40,2,Augusta National Golf Club,14,72,1,11:42am,73,-0.709,-1.243,0.446,0.836,0.038,-0.67,296.3,0.786,0.611,0.4,128.464,36.816,3.0,2.0,0,6,6,5,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Munoz, Sebastian",20770,T40,3,Augusta National Golf Club,14,72,1,9:50am,71,0.063,1.92,-0.705,0.147,1.363,1.426,291.1,0.643,0.778,1.0,101.67,33.438,1.0,3.0,0,3,13,2,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Munoz, Sebastian",20770,T40,4,Augusta National Golf Club,14,72,1,11:20am,74,0.976,-1.162,0.798,-1.983,-2.346,-1.37,289.0,0.571,0.611,0.444,101.746,35.464,4.0,7.0,0,6,7,3,2
pga,2021,2021,2021-04-11,The Masters #2,536,"Fleetwood, Tommy",12294,T46,1,Augusta National Golf Club,14,72,1,1:12pm,74,-3.106,1.089,3.669,-1.129,3.629,0.523,289.8,0.643,0.722,0.6,62.043,28.33,1.0,4.0,1,0,13,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Fleetwood, Tommy",12294,T46,2,Augusta National Golf Club,14,72,1,10:06am,70,1.601,0.919,-0.457,0.267,0.728,2.33,293.6,0.643,0.778,0.4,96.539,30.06,4.0,2.0,0,5,10,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Fleetwood, Tommy",12294,T46,3,Augusta National Golf Club,14,72,1,12:20pm,73,-0.287,-0.571,1.425,-1.141,-0.288,-0.574,297.1,0.5,0.722,0.5,44.784,34.814,1.0,3.0,0,4,10,3,1
pga,2021,2021,2021-04-11,The Masters #2,536,"Fleetwood, Tommy",12294,T46,4,Augusta National Golf Club,14,72,1,11:50am,76,-0.381,-0.938,-2.675,0.624,-2.99,-3.37,297.2,0.786,0.556,0.444,46.487,36.188,5.0,6.0,0,3,10,3,2
pga,2021,2021,2021-04-11,The Masters #2,536,"Todd, Brendon",12425,T46,1,Augusta National Golf Club,14,72,1,9:00am,73,2.449,-0.145,-1.186,0.405,-0.926,1.523,277.6,0.857,0.556,0.625,77.534,46.312,2.0,2.0,0,2,13,3,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Todd, Brendon",12425,T46,2,Augusta National Golf Club,14,72,1,12:12pm,71,-0.763,-0.239,3.212,-0.88,2.093,1.33,279.8,0.786,0.611,0.636,65.792,29.094,2.0,5.0,0,5,9,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Todd, Brendon",12425,T46,3,Augusta National Golf Club,14,72,1,12:00pm,76,-1.698,0.753,-2.166,-0.463,-1.876,-3.574,270.7,0.857,0.556,0.625,49.79,34.348,0.0,3.0,0,1,12,5,0
pga,2021,2021,2021-04-11,The Masters #2,536,"Todd, Brendon",12425,T46,4,Augusta National Golf Club,14,72,1,10:10am,73,-0.441,0.608,2.08,-2.618,0.071,-0.37,271.9,0.857,0.611,0.286,,30.514,3.0,3.0,0,3,11,4,0
pga,2021,2021,2021-04-11,The Masters #2,536,"DeChambeau, Bryson",19841,T46,1,Augusta National Golf Club,14,72,1,1:36pm,76,0.796,-0.827,-2.077,0.631,-2.274,-1.477,322.0,0.5,0.5,0.538,91.334,30.87,2.0,5.0,0,1,13,3,1
pga,2021,2021,2021-04-11,The Masters #2,536,"DeChambeau, Bryson",19841,T46,2,Augusta National Golf Club,14,72,1,10:30am,67,2.024,-0.965,2.862,1.407,3.305,5.33,322.7,0.571,0.833,0.429,41.3,23.98,7.0,1.0,0,7,9,2,0
